episode,epsilon,reward,steps,success,risk_exposure,redundant_actions,escalation_attempts,mean_loss
1.0,1.0,21.1,7.0,1.0,0.2,0.0,1.0,0.0
2.0,0.99981,0.8,2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.99962,8.3,7.0,0.0,0.0,0.0,0.0,0.0
4.0,0.99943,4.4,6.0,0.0,0.0,0.0,0.0,0.0
5.0,0.99924,19.1,8.0,1.0,0.1,0.0,1.0,0.0
6.0,0.99905,4.4,6.0,0.0,0.0,0.0,0.0,0.0
7.0,0.99886,17.22,6.0,1.0,0.18,0.0,1.0,0.0
8.0,0.99867,1.7,3.0,0.0,0.0,0.0,0.0,0.0
9.0,0.99848,0.8,2.0,0.0,0.0,0.0,0.0,0.0
10.0,0.99829,-0.1,1.0,0.0,0.0,0.0,0.0,0.0
11.0,0.9981,-0.1,1.0,0.0,0.0,0.0,0.0,0.0
12.0,0.99791,5.000000000000001,8.0,0.0,0.2,0.0,1.0,0.0
13.0,0.99772,18.75,8.0,1.0,0.45,0.0,1.0,8.227745056152344
14.0,0.99753,8.3,7.0,0.0,0.0,0.0,0.0,8.309107507978167
15.0,0.99734,-0.1,1.0,0.0,0.0,0.0,0.0,8.088375091552734
16.0,0.99715,23.85,7.0,1.0,0.45,0.0,1.0,8.405344349997383
17.0,0.99696,13.700000000000001,2.0,1.0,0.1,0.0,1.0,9.268592834472656
18.0,0.99677,4.7,3.0,0.0,0.0,0.0,0.0,10.364972432454428
19.0,0.99658,11.6,4.0,0.0,0.0,0.0,0.0,10.437519788742065
20.0,0.99639,4.7,3.0,0.0,0.0,0.0,0.0,8.768737951914469
21.0,0.9962,5.300000000000001,7.0,0.0,0.0,0.0,0.0,5.628447192055838
22.0,0.99601,3.5,5.0,0.0,0.0,0.0,0.0,4.207347965240478
23.0,0.99582,12.200000000000001,8.0,0.0,0.0,0.0,0.0,2.8038089722394943
24.0,0.99563,5.6000000000000005,4.0,0.0,0.0,0.0,0.0,2.496226966381073
25.0,0.99544,2.6,4.0,0.0,0.0,0.0,0.0,2.4490156769752502
26.0,0.99525,0.8,2.0,0.0,0.0,0.0,0.0,1.6452357769012451
27.0,0.9950600000000001,4.4,6.0,0.0,0.0,0.0,0.0,1.9444738229115803
28.0,0.99487,13.399999999999999,7.0,1.0,0.9,0.0,2.0,2.1297837836401805
