episode,epsilon,reward,steps,success,risk_exposure,redundant_actions,escalation_attempts,mean_loss
1.0,1.0,10.200000000000001,8.0,0.0,0.0,0.0,0.0,0.0
2.0,0.99981,24.9,8.0,1.0,0.3,0.0,1.0,0.0
3.0,0.99962,8.4,6.0,0.0,0.0,0.0,0.0,0.0
4.0,0.99943,25.1,8.0,1.0,0.1,0.0,1.0,0.0
5.0,0.99924,5.4,6.0,0.0,0.0,0.0,0.0,0.0
6.0,0.99905,2.4,6.0,0.0,0.0,0.0,0.0,0.0
7.0,0.99886,5.7,3.0,0.0,0.0,0.0,0.0,0.0
8.0,0.99867,13.700000000000001,2.0,1.0,0.1,0.0,1.0,0.0
9.0,0.99848,-2.1,1.0,0.0,0.0,0.0,0.0,0.0
10.0,0.99829,-2.1,1.0,0.0,0.0,0.0,0.0,0.0
11.0,0.9981,18.200000000000003,7.0,1.0,0.1,0.0,1.0,0.0
12.0,0.99791,1.8,2.0,0.0,0.0,0.0,0.0,0.0
13.0,0.99772,2.6999999999999997,3.0,0.0,0.0,0.0,0.0,0.0
14.0,0.99753,16.95,6.0,1.0,0.45,0.0,1.0,12.182274341583252
15.0,0.99734,-1.2000000000000002,2.0,0.0,0.0,0.0,0.0,12.88346004486084
16.0,0.99715,2.6999999999999997,3.0,0.0,0.0,0.0,0.0,13.09502919514974
17.0,0.99696,-2.1,1.0,0.0,0.0,0.0,0.0,13.648167610168457
18.0,0.99677,6.300000000000001,7.0,0.0,0.0,0.0,0.0,11.450001171657018
19.0,0.99658,13.700000000000001,2.0,1.0,0.1,0.0,1.0,11.60606575012207
20.0,0.99639,15.399999999999999,4.0,1.0,0.2,0.0,1.0,11.243414402008057
21.0,0.9962,-1.2000000000000002,2.0,0.0,0.0,0.0,0.0,10.74778413772583
22.0,0.99601,2.6999999999999997,3.0,0.0,0.0,0.0,0.0,8.52521244684855
23.0,0.99582,6.300000000000001,7.0,0.0,0.0,0.0,0.0,7.1153115545000345
24.0,0.99563,7.500000000000001,5.0,0.0,0.0,0.0,0.0,6.018444061279297
25.0,0.99544,10.200000000000001,8.0,0.0,0.0,0.0,0.0,4.431806206703186
26.0,0.99525,3.6,4.0,0.0,0.0,0.0,0.0,3.341800481081009
27.0,0.9950600000000001,3.6,4.0,0.0,0.0,0.0,0.0,3.918547749519348
28.0,0.99487,21.12,7.0,1.0,0.18,0.0,1.0,2.5668104546410695
29.0,0.99468,1.8,2.0,0.0,0.0,0.0,0.0,2.276980996131897
30.0,0.99449,22.9,9.0,1.0,0.2,0.0,1.0,1.5317579706509907
31.0,0.9943,12.000000000000002,10.0,0.0,0.0,0.0,0.0,1.4086414515972137
32.0,0.99411,4.5,5.0,0.0,0.0,0.0,0.0,1.25399751663208
33.0,0.99392,11.100000000000001,9.0,0.0,0.0,0.0,0.0,1.1884466012318928
34.0,0.99373,9.000000000000002,10.0,0.0,0.0,0.0,0.0,1.0479308545589447
35.0,0.99354,14.999999999999998,10.0,0.0,0.0,0.0,0.0,0.9664297491312027
36.0,0.99335,22.8,9.0,1.0,0.3,0.0,1.0,0.8363401956028409
37.0,0.99316,1.8,2.0,0.0,0.0,0.0,0.0,0.6386226713657379
38.0,0.99297,10.200000000000001,8.0,0.0,0.0,0.0,0.0,0.9138533398509026
39.0,0.99278,7.200000000000001,8.0,0.0,0.0,0.0,0.0,0.9685917273163795
40.0,0.99259,10.200000000000001,8.0,0.0,0.0,0.0,0.0,0.9122527837753296
41.0,0.9924,2.6999999999999997,3.0,0.0,0.0,0.0,0.0,0.7707452575365702
42.0,0.99221,13.200000000000001,8.0,0.0,0.0,0.0,0.0,0.8768952563405037
43.0,0.99202,1.5,5.0,0.0,0.0,0.0,0.0,0.7796611309051513
44.0,0.99183,2.6999999999999997,3.0,0.0,0.0,0.0,0.0,0.7586292823155721
45.0,0.99164,-0.30000000000000004,3.0,0.0,0.0,0.0,0.0,0.7465564608573914
46.0,0.99145,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.740624424484041
47.0,0.99126,5.100000000000001,9.0,0.0,0.0,0.0,0.0,0.7005746430820889
48.0,0.99107,1.7999999999999998,2.0,0.0,0.0,0.0,0.0,0.7137469351291656
49.0,0.99088,5.4,6.0,0.0,0.0,0.0,0.0,0.8593657612800598
50.0,0.99069,7.200000000000001,8.0,0.0,0.0,0.0,0.0,0.8196355514228344
51.0,0.9905,5.7,3.0,0.0,0.0,0.0,0.0,0.8186334172884623
52.0,0.99031,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.7980455623732673
53.0,0.99012,16.299999999999997,5.0,1.0,0.2,0.0,1.0,0.7212098479270935
54.0,0.98993,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.7847667899396684
55.0,0.98974,-2.1,1.0,0.0,0.0,0.0,0.0,0.8211900591850281
56.0,0.98955,25.0,8.0,1.0,0.2,0.0,1.0,0.93334149569273
57.0,0.98936,-0.30000000000000004,3.0,0.0,0.0,0.0,0.0,0.8324742913246155
58.0,0.98917,13.620000000000001,2.0,1.0,0.18,0.0,1.0,0.7927834391593933
59.0,0.98898,-1.2000000000000002,2.0,0.0,0.0,0.0,0.0,0.8833291828632355
60.0,0.98879,9.3,7.0,0.0,0.0,0.0,0.0,0.8199070521763393
61.0,0.9886,7.200000000000001,8.0,0.0,0.0,0.0,0.0,0.827966783195734
62.0,0.98841,-0.30000000000000004,3.0,0.0,0.0,0.0,0.0,0.7191488742828369
63.0,0.98822,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.7608910997708639
64.0,0.98803,4.5,5.0,0.0,0.0,0.0,0.0,0.7292060375213623
65.0,0.98784,4.5,5.0,0.0,0.0,0.0,0.0,0.8133090019226075
66.0,0.98765,0.6000000000000001,4.0,0.0,0.0,0.0,0.0,0.5659497901797295
67.0,0.98746,4.5,5.0,0.0,0.0,0.0,0.0,0.6570012390613555
68.0,0.98727,0.6000000000000001,4.0,0.0,0.0,0.0,0.0,0.6272168755531311
69.0,0.98708,9.3,7.0,0.0,0.0,0.0,0.0,0.6275768578052521
70.0,0.98689,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.673007415400611
71.0,0.9867,2.7,3.0,0.0,0.0,0.0,0.0,0.6346856554349264
72.0,0.98651,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.6779573957125345
73.0,0.98632,5.699999999999999,3.0,0.0,0.0,0.0,0.0,0.7800631523132324
74.0,0.98613,16.3,5.0,1.0,0.2,0.0,1.0,0.6005457520484925
75.0,0.98594,-0.30000000000000004,3.0,0.0,0.0,0.0,0.0,0.747135599454244
76.0,0.98575,13.700000000000001,2.0,1.0,0.1,0.0,1.0,0.9097288548946381
77.0,0.98556,9.3,7.0,0.0,0.0,0.0,0.0,0.561699024268559
78.0,0.98537,0.6000000000000001,4.0,0.0,0.0,0.0,0.0,0.7499526590108871
79.0,0.9851800000000001,2.7,3.0,0.0,0.0,0.0,0.0,0.7369064490000407
80.0,0.98499,1.7999999999999998,2.0,0.0,0.0,0.0,0.0,0.8169878721237183
81.0,0.9848,21.4,4.0,1.0,0.2,0.0,1.0,0.6023688167333603
82.0,0.98461,18.4,4.0,1.0,0.2,0.0,1.0,0.7861138135194778
83.0,0.98442,8.100000000000001,9.0,0.0,0.0,0.0,0.0,0.8546567890379164
84.0,0.98423,3.6,4.0,0.0,0.0,0.0,0.0,0.6675061360001564
85.0,0.98404,2.6999999999999997,3.0,0.0,0.0,0.0,0.0,0.6315840681393942
86.0,0.98385,4.5,5.0,0.0,0.0,0.0,0.0,0.65050910115242
87.0,0.98366,17.52,3.0,1.0,0.18,0.0,1.0,0.8259716828664144
88.0,0.98347,6.300000000000001,7.0,0.0,0.0,0.0,0.0,0.7465404782976423
89.0,0.98328,15.5,4.0,1.0,0.1,0.0,1.0,0.5761258006095886
90.0,0.98309,4.8,2.0,0.0,0.0,0.0,0.0,0.7980431914329529
91.0,0.9829,20.3,6.0,1.0,0.1,0.0,1.0,0.7144795457522074
92.0,0.98271,16.2,8.0,0.0,0.0,0.0,0.0,0.6392200216650963
93.0,0.98252,21.12,7.0,1.0,0.18,0.0,1.0,0.7694116319928851
94.0,0.98233,19.299999999999997,5.0,1.0,0.2,0.0,1.0,0.6370672047138214
95.0,0.98214,2.4,6.0,0.0,0.0,0.0,0.0,0.7905341585477194
96.0,0.98195,7.700000000000001,10.0,0.0,0.3,0.0,1.0,11.81484234035015
