episode,epsilon,reward,steps,success,risk_exposure,redundant_actions,escalation_attempts,mean_loss
1.0,1.0,4.05,8.0,0.0,0.0,0.0,0.0,0.0
2.0,0.99981,23.0,8.0,1.0,0.3,0.0,1.0,0.0
3.0,0.99962,3.3500000000000005,6.0,0.0,0.0,0.0,0.0,0.0
4.0,0.99943,23.2,8.0,1.0,0.1,0.0,1.0,0.0
5.0,0.99924,-5.9,6.0,0.0,0.0,0.0,0.0,0.0
6.0,0.99905,-4.4,6.0,0.0,0.0,0.0,0.0,0.0
7.0,0.99886,2.3000000000000003,3.0,0.0,0.0,0.0,0.0,0.0
8.0,0.99867,19.6,2.0,1.0,0.1,0.0,1.0,0.0
9.0,0.99848,-6.15,1.0,0.0,0.0,0.0,0.0,0.0
10.0,0.99829,-6.15,1.0,0.0,0.0,0.0,0.0,0.0
11.0,0.9981,18.35,7.0,1.0,0.1,0.0,1.0,0.0
12.0,0.99791,0.44999999999999996,2.0,0.0,0.0,0.0,0.0,0.0
13.0,0.99772,-3.95,3.0,0.0,0.0,0.0,0.0,0.0
14.0,0.99753,20.65,6.0,1.0,0.45,0.0,1.0,32.03463649749756
15.0,0.99734,-5.800000000000001,2.0,0.0,0.0,0.0,0.0,30.011966705322266
16.0,0.99715,-4.7,3.0,0.0,0.0,0.0,0.0,30.471904754638672
17.0,0.99696,-6.15,1.0,0.0,0.0,0.0,0.0,30.95965576171875
18.0,0.99677,-2.5500000000000003,7.0,0.0,0.0,0.0,0.0,32.28854424612863
19.0,0.99658,19.6,2.0,1.0,0.1,0.0,1.0,34.013973236083984
20.0,0.99639,20.2,4.0,1.0,0.2,0.0,1.0,31.22250461578369
21.0,0.9962,-5.800000000000001,2.0,0.0,0.0,0.0,0.0,30.528491973876953
22.0,0.99601,-4.7,3.0,0.0,0.0,0.0,0.0,26.547197341918945
23.0,0.99582,2.2,7.0,0.0,0.0,0.0,0.0,21.761227199009486
24.0,0.99563,3.0000000000000004,5.0,0.0,0.0,0.0,0.0,21.919453048706053
25.0,0.99544,-2.95,8.0,0.0,0.0,0.0,0.0,16.51634705066681
